cohort,shrinkage,action_mm,nll,crps,coverage90,projected_diameter
development,0,1.371928235861565,-2.1751733466698115,0.013603724820296354,0.975,0.16042413383711313
development,0.1,1.3623063769288897,-2.1772124416589653,0.013603081144050719,0.975,0.16042383769327678
development,0.25,1.3522310301768836,-2.1795496711715403,0.013619179313368517,0.9755050505050507,0.1604243634223364
development,0.5,1.3471383452645065,-2.1814973961782087,0.013691119009367427,0.9750000000000001,0.1604278252687861
development,1.0,1.3856937745931295,-2.177990744419792,0.014000032607657727,0.9734848484848486,0.16044443591066732
confirmation,0,1.4687698458198468,-2.542391078458084,0.013136130507340488,0.9736111111111112,0.15954252748346437
confirmation,0.1,1.4601315585624652,-2.5440563130187943,0.013121885368058455,0.9736111111111112,0.15954264149363268
confirmation,0.25,1.4531219233223358,-2.5459381981639906,0.01311323587001741,0.9736111111111112,0.15954352343932776
confirmation,0.5,1.4476454203827283,-2.5474423732511933,0.013132775607081319,0.9736111111111112,0.15954688911596687
confirmation,1.0,1.465189341305277,-2.5444275427846845,0.013298719670133777,0.9745370370370371,0.15956072795170878
