method,regime,protocol,coordinate,family_macro_mean,family_macro_median
v22_vlm,generalized_translation,unforced_slide,0,N/A,N/A
v22_vlm,generalized_translation,unforced_slide,1,0.006189553647250837,0.00543696723507665
v22_vlm,generalized_translation,unforced_slide,2,N/A,N/A
v22_vlm,generalized_translation,bounce,0,N/A,N/A
v22_vlm,generalized_translation,bounce,1,N/A,N/A
v22_vlm,generalized_translation,bounce,2,0.005055516965604023,0.0030127089285015337
v22_vlm,setup_translation,multiple_forces,0,0.031109330704072166,0.02488491700262606
v22_vlm,setup_translation,multiple_forces,1,0.03176676820749437,0.02354894616083438
v22_vlm,setup_translation,multiple_forces,2,N/A,N/A
v22_vlm,setup_translation,unforced_slide,0,N/A,N/A
v22_vlm,setup_translation,unforced_slide,1,0.006189553647250837,0.00543696723507665
v22_vlm,setup_translation,unforced_slide,2,N/A,N/A
v22_vlm,setup_translation,bounce,0,N/A,N/A
v22_vlm,setup_translation,bounce,1,N/A,N/A
v22_vlm,setup_translation,bounce,2,0.003296436472150016,0.0026601239848107272
legacy_qwen_warp_joint,generalized_translation,multiple_forces,0,0.05081870897968858,0.04345300694932169
legacy_qwen_warp_joint,generalized_translation,multiple_forces,1,0.058741818801619744,0.05117845154795833
legacy_qwen_warp_joint,generalized_translation,multiple_forces,2,N/A,N/A
legacy_qwen_warp_joint,generalized_translation,unforced_slide,0,N/A,N/A
legacy_qwen_warp_joint,generalized_translation,unforced_slide,1,0.01239156480935591,0.010322527488778798
legacy_qwen_warp_joint,generalized_translation,unforced_slide,2,N/A,N/A
legacy_qwen_warp_joint,generalized_translation,bounce,0,N/A,N/A
legacy_qwen_warp_joint,generalized_translation,bounce,1,N/A,N/A
legacy_qwen_warp_joint,generalized_translation,bounce,2,0.012663174034359235,0.0038616460990429425
legacy_qwen_warp_joint,setup_translation,multiple_forces,0,0.05081870897968858,0.04345300694932169
legacy_qwen_warp_joint,setup_translation,multiple_forces,1,0.058741818801619744,0.05117845154795833
legacy_qwen_warp_joint,setup_translation,multiple_forces,2,N/A,N/A
legacy_qwen_warp_joint,setup_translation,unforced_slide,0,N/A,N/A
legacy_qwen_warp_joint,setup_translation,unforced_slide,1,0.01239156480935591,0.010322527488778798
legacy_qwen_warp_joint,setup_translation,unforced_slide,2,N/A,N/A
legacy_qwen_warp_joint,setup_translation,bounce,0,N/A,N/A
legacy_qwen_warp_joint,setup_translation,bounce,1,N/A,N/A
legacy_qwen_warp_joint,setup_translation,bounce,2,0.0032142102998415287,0.002763883403712822
rgb_warp_joint,generalized_translation,multiple_forces,0,0.0536117774036862,0.04448629356383406
rgb_warp_joint,generalized_translation,multiple_forces,1,0.06527024431419766,0.051261389979897376
rgb_warp_joint,generalized_translation,multiple_forces,2,N/A,N/A
rgb_warp_joint,generalized_translation,unforced_slide,0,N/A,N/A
rgb_warp_joint,generalized_translation,unforced_slide,1,0.014609300667985733,0.010347271425994297
rgb_warp_joint,generalized_translation,unforced_slide,2,N/A,N/A
rgb_warp_joint,generalized_translation,bounce,0,N/A,N/A
rgb_warp_joint,generalized_translation,bounce,1,N/A,N/A
rgb_warp_joint,generalized_translation,bounce,2,0.012475695132872987,0.003616751053030702
rgb_warp_joint,setup_translation,multiple_forces,0,0.0536117774036862,0.04448629356383406
rgb_warp_joint,setup_translation,multiple_forces,1,0.06527024431419766,0.051261389979897376
rgb_warp_joint,setup_translation,multiple_forces,2,N/A,N/A
rgb_warp_joint,setup_translation,unforced_slide,0,N/A,N/A
rgb_warp_joint,setup_translation,unforced_slide,1,0.014609300667985733,0.010347271425994297
rgb_warp_joint,setup_translation,unforced_slide,2,N/A,N/A
rgb_warp_joint,setup_translation,bounce,0,N/A,N/A
rgb_warp_joint,setup_translation,bounce,1,N/A,N/A
rgb_warp_joint,setup_translation,bounce,2,0.003767783362408235,0.0031202240447448073
huber,generalized_translation,multiple_forces,0,0.03997747378950678,0.03512050091835163
huber,generalized_translation,multiple_forces,1,0.04469826534960794,0.03546720962789731
huber,generalized_translation,multiple_forces,2,N/A,N/A
huber,generalized_translation,unforced_slide,0,N/A,N/A
huber,generalized_translation,unforced_slide,1,0.013213006276872859,0.009905118693695127
huber,generalized_translation,unforced_slide,2,N/A,N/A
huber,generalized_translation,bounce,0,N/A,N/A
huber,generalized_translation,bounce,1,N/A,N/A
huber,generalized_translation,bounce,2,0.013520816455972565,0.0036106792874680605
huber,setup_translation,multiple_forces,0,0.03997747378950678,0.03512050091835163
huber,setup_translation,multiple_forces,1,0.04469826534960794,0.03546720962789731
huber,setup_translation,multiple_forces,2,N/A,N/A
huber,setup_translation,unforced_slide,0,N/A,N/A
huber,setup_translation,unforced_slide,1,0.013213006276872859,0.009905118693695127
huber,setup_translation,unforced_slide,2,N/A,N/A
huber,setup_translation,bounce,0,N/A,N/A
huber,setup_translation,bounce,1,N/A,N/A
huber,setup_translation,bounce,2,0.003943063930833777,0.0029950056558110793
cauchy,generalized_translation,multiple_forces,0,0.03998505371704594,0.03514024689665801
cauchy,generalized_translation,multiple_forces,1,0.04470265565427957,0.03548256151593001
cauchy,generalized_translation,multiple_forces,2,N/A,N/A
cauchy,generalized_translation,unforced_slide,0,N/A,N/A
cauchy,generalized_translation,unforced_slide,1,0.013213113706928487,0.009902907232114044
cauchy,generalized_translation,unforced_slide,2,N/A,N/A
