view,selected_penalty,development_mm,confirmation_mm,difference_mm,low95_mm,high95_mm,one_sided_upper_mm,relative_percent,wins,n
full,10,1.3522310301768836,1.4531219233223358,-0.01564792249750635,-0.031141201984454595,0.0005255895930802742,-0.0021891308533174367,1.0653760725031676,46,72
pooled,1,1.3671143649899267,1.4674609826347351,-0.0013088631851071336,-0.018727948627136327,0.017206717361875564,0.013827797297060539,0.0891128851012292,37,72
position,1,1.3511543241088446,1.4511170315669761,-0.017652814252865943,-0.031010217311465853,-0.005115910567408699,-0.007062974016291635,1.2018774965394619,43,72
deduplicated_numeric,0.1,1.3479166816479813,1.4263152138867332,-0.042454631933108965,-0.07105063204637312,-0.015076095502421652,-0.01944508080256767,2.8904890751900894,47,72
