view,penalty,development_mm
full,1,1.3528501609960475
full,10,1.3522310301768836
full,100,1.3558675970513245
pooled,1,1.3671143649899267
pooled,10,1.3677869728787975
pooled,100,1.3671461447313824
position,1,1.3511543241088446
position,10,1.351850268682022
position,100,1.3559488117838465
deduplicated_numeric,0.1,1.3479166816479813
deduplicated_numeric,1,1.3521149949552886
deduplicated_numeric,10,1.509617060747221
