method,cohort,action_mm,difference_mm,low95_mm,high95_mm,one_sided_upper_mm,relative_percent,wins,n
direct_ridge,development,32.39992596181936,31.04769493164247,28.518880152781538,33.64795126373014,33.22741011168654,-2296.0347927810217,0,132
direct_ridge,confirmation,33.40285991337337,31.94973799005104,28.75546952348704,35.34003112165982,34.76688974129367,-2198.696301890693,0,72
direct_mlp,development,30.62060499330808,29.2683739631312,26.385285549432623,32.34098110196196,31.81746000598752,-2164.450697400624,0,132
direct_mlp,confirmation,26.48923320536375,25.036111282041418,22.427771862312248,27.73870423368133,27.28316537124572,-1722.9188329084132,0,72
