cohort,target,action_mm,difference_mm,low95_mm,high95_mm,one_sided_upper_mm,relative_percent,wins,n
development,in_sample,1.3522310301768836,-0.01969720568468128,-0.037727420343032475,-0.0013071693084842513,-0.004447031453484356,1.4357314887036865,77,132
confirmation,in_sample,1.4531219233223358,-0.01564792249750635,-0.031141201984454595,0.0005255895930802742,-0.0021891308533174367,1.0653760725031676,46,72
development,crossfit,1.350328121385452,-0.021600114476112854,-0.04228097107489878,-0.00045541698287559313,-0.004113537576494796,1.5744347197977264,78,132
confirmation,crossfit,1.4516201722431832,-0.017149673576659058,-0.03446257941058263,0.0009521081737409487,-0.0022125015844288694,1.1676215729419719,43,72
