fold,regime,n,residual_correlation,training_numeric_clip_rate,prediction_numeric_clip_rate,prediction_visual_clip_rate,anchor_sd_median,anchor_sd_q25,anchor_sd_q75,target_sd
0,generalized_translation,110,0.06535528361618242,0.0018181818181818182,0.0,0.06363636363636363,0.007681532011722905,0.005319920972100191,0.01381523393116739,2.226748449994209
0,setup_translation,110,0.42919629706343276,0.0,0.0,0.0,0.007039078917393515,0.005124249853176108,0.009925542062678783,0.47216879390475514
1,generalized_translation,110,-0.201523992659821,0.012727272727272728,0.01818181818181818,0.13636363636363635,0.007638471908644529,0.00557183012532151,0.012354789964933548,1.4729187504033345
1,setup_translation,110,0.4848227452206911,0.0,0.0,0.0,0.007185145490671448,0.005347660247745694,0.010082303688298313,0.5058183990977808
2,generalized_translation,110,0.05913504770451086,0.0,0.02727272727272727,0.10909090909090909,0.009212076603659428,0.006259912600378639,0.01411469072584372,4.122495352501118
2,setup_translation,110,0.5347028965694607,0.0,0.0,0.0,0.00849852976094559,0.005993011477710929,0.009981352510056198,0.49687717780430884
3,generalized_translation,110,0.03147844050779555,0.0,0.0,0.08181818181818182,0.0072942484407810156,0.005552394276718386,0.012933492121036417,4.905408276918785
3,setup_translation,110,0.6582234187361571,0.0,0.0,0.0,0.006879292726257581,0.005558551486038505,0.009967967872705279,0.5638352474289882
4,generalized_translation,110,0.23062443569046975,0.0018181818181818182,0.0,0.03636363636363636,0.00837308666467782,0.005817959341909237,0.013832173043067938,1.538651645597082
4,setup_translation,110,0.4573190489804132,0.0,0.0,0.0,0.007912117759442708,0.005723257345213388,0.011034825633431604,0.4904565285116968
5,generalized_translation,110,-0.040883436787720634,0.0018181818181818182,0.00909090909090909,0.06363636363636363,0.007589606733240495,0.005231821447760208,0.013136923440413974,2.0055282921483584
5,setup_translation,110,0.5495316254225608,0.0,0.0,0.0,0.007017109385292602,0.005082828840745208,0.009964619840806667,0.5180564242869873
confirmation,generalized_translation,360,0.18576871710462095,0.0,0.0,0.06388888888888888,0.0075167899164760195,0.005310993780779004,0.013676548391257494,2.2644207372251635
confirmation,setup_translation,360,0.5017547656341532,0.0,0.0,0.0,0.007098117244339629,0.005222658416423767,0.009999557440182088,0.5713143374366856
