task,comparison,n,delta_mm,low95_mm,high95_mm,upper95_mm,analysis
main,full minus unit_rgb,72,-0.6660321082445362,-0.8760753701735126,-0.47193240265024433,-0.5031326941253838,post hoc fixed-reference diagnostic
main,full minus huber_1.345_rgb,72,-0.621147212717342,-0.8293306017801122,-0.4296182956702133,-0.4594261429137236,post hoc fixed-reference diagnostic
main,full minus cauchy_2.385_rgb,72,-0.6282738027969258,-0.8367080797890492,-0.4364153439217349,-0.4665117897419303,post hoc fixed-reference diagnostic
main,full minus v22_numeric,72,-0.015647922497509584,-0.031141201984456746,0.0005255895930760383,-0.0021891308533190782,original replay
main,full minus draw_wise_strongest,72,-0.6211472127173419,-0.8293306017801118,-0.4296182956702133,-0.4594261429137236,original replay
public,raw_vlm minus numeric,123,-2.9717336962245837,-5.872120076595813,-0.024801138494892187,-0.511046111734997,post hoc unadjusted diagnostic
public,gated_vlm minus raw_vlm,123,-0.19504117857288003,-1.7849348824308706,1.360323180491935,1.1163262521437978,post hoc unadjusted diagnostic
public,gated_vlm minus numeric,123,-3.166774874797464,-4.95652522426511,-1.400141725856061,-1.6780761585860475,original replay
