task,comparison,units,improved_units,tied_units,worsened_units,mean_delta_mm,median_delta_mm,relative_improvement_percent,relative_low95_percent,relative_high95_percent,leave_one_out_min_mean_delta_mm,leave_one_out_max_mean_delta_mm,analysis
main,full_vs_huber,72,56,0,16,-0.621147212717342,-0.4350909523952744,29.94535289202034,22.732106542750635,36.45907335859061,-0.6489099000422281,-0.5750137328707691,post hoc descriptive sensitivity; fixed comparator; no multiplicity adjustment
main,full_vs_numeric,72,46,0,26,-0.015647922497509584,-0.011166890906047347,1.0653760725033878,-0.03612726608930637,2.0630588190189094,-0.019954013185800226,-0.013461177142144978,post hoc descriptive sensitivity; fixed comparator; no multiplicity adjustment
public,gated_vs_numeric,123,72,5,46,-3.166774874797464,-1.4403350041526792,4.268941902803425,1.9745216720208782,6.4591419297498005,-3.3917279126539706,-2.9213415206906177,post hoc descriptive sensitivity; fixed comparator; no multiplicity adjustment
public,gated_vs_raw,123,52,7,64,-0.19504117857288003,1.0630681572654788,0.27389579261215546,-1.9112724115016404,2.5247564498140656,-0.50697616775925,0.07357310331291166,post hoc descriptive sensitivity; fixed comparator; no multiplicity adjustment
