episode,regime,protocol,converged,calls,boundary,nuisance_rank,nuisance_dim,objective
0c7a80b63187427d2a17541a,generalized_translation,bounce,True,13,False,3,3,1.8460919705685537
0c7a80b63187427d2a17541a,setup_translation,bounce,True,12,False,1,1,2.0974223233636886
0cb645b8bebe58176b3f0ce8,generalized_translation,unforced_slide,True,8,False,2,2,0.9261084067216511
0cd9415df33d4764f21956d1,generalized_translation,multiple_forces,True,31,False,2,2,1.1822766763084325
0cf0d884256bf4ea2c323bbb,generalized_translation,unforced_slide,True,6,False,2,2,0.16077273099548792
0da16f14e2fc8e0b30c9214b,generalized_translation,multiple_forces,True,6,False,2,2,0.08116509959388175
0dc5ca70dcd804f7ceb92488,generalized_translation,bounce,True,7,False,3,3,1.0656798000914236
0dc5ca70dcd804f7ceb92488,setup_translation,bounce,True,4,False,1,1,3.9396402166847615
0df782cc692c4b7e0a677c9c,generalized_translation,multiple_forces,True,19,False,2,2,1.155964858775285
0e82af60ab3d702432094ee9,generalized_translation,multiple_forces,True,19,False,2,2,1.5127324114114526
0ea9dee9e1a0c87c05932d1c,generalized_translation,bounce,True,7,False,3,3,1.520326542670409
0ea9dee9e1a0c87c05932d1c,setup_translation,bounce,True,12,False,1,1,2.9997599159287844
0f449c56e6c849035b10b3de,generalized_translation,bounce,True,6,False,3,3,0.5105596105261719
0f449c56e6c849035b10b3de,setup_translation,bounce,True,4,False,1,1,1.1271597369173025
0f9641226afb460c717e0a33,generalized_translation,unforced_slide,True,10,False,2,2,2.080470164120395
0fd4cc3d63d3725fa3b6c8c9,generalized_translation,multiple_forces,True,18,False,2,2,2.074184063844212
108366890954ad45c2205682,generalized_translation,bounce,True,9,False,3,3,0.16773718565948842
108366890954ad45c2205682,setup_translation,bounce,True,7,False,1,1,0.7959488691165567
10ebd4fd46b5d97220885c46,generalized_translation,multiple_forces,True,11,False,2,2,0.3749918757208771
110110d99c079e8b0ecc398e,generalized_translation,unforced_slide,True,7,False,2,2,0.18332790535051968
110bc2b07f3d72bf7e515483,generalized_translation,multiple_forces,True,9,False,2,2,1.6203537523665577
111e4d98befc69803e22f856,generalized_translation,multiple_forces,True,9,False,2,2,1.5277817269161191
1149e26ddb32c78cc1bcc40b,generalized_translation,multiple_forces,True,7,False,2,2,0.6753822709189273
1213779804da6a3116bf2527,generalized_translation,bounce,True,6,False,3,3,0.5084596158853572
1213779804da6a3116bf2527,setup_translation,bounce,True,5,False,1,1,0.818840254369906
1249680db2ea83683a5584d7,generalized_translation,multiple_forces,True,10,False,2,2,2.165598647160656
12b1ee229f52d7cc447d61b7,generalized_translation,bounce,True,8,False,3,3,0.181176753105043
12b1ee229f52d7cc447d61b7,setup_translation,bounce,True,7,False,1,1,0.23431685066834845
1311560bcf65b5996d5d6309,generalized_translation,unforced_slide,True,9,False,2,2,1.2126393750127638
135fd6e5e58e3ef829da2c64,generalized_translation,multiple_forces,True,12,False,2,2,1.7951100071902444
1362d18a38d4554fd8846d2f,generalized_translation,unforced_slide,True,8,False,2,2,0.64962005033543
13af1cf711d3f9c944822c3e,generalized_translation,multiple_forces,True,8,False,2,2,0.33877361895855623
13b018720d07243ab64e439c,generalized_translation,unforced_slide,True,9,False,2,2,2.4283615962760323
13f82bdd75f8bdb10b003532,generalized_translation,bounce,True,7,False,3,3,2.040591711295206
13f82bdd75f8bdb10b003532,setup_translation,bounce,True,3,False,1,1,2.136363704634134
14045d14ddf599b2215c273c,generalized_translation,bounce,True,11,False,3,3,1.0517222290166282
14045d14ddf599b2215c273c,setup_translation,bounce,True,9,False,1,1,1.1598666581163044
14339722e4d15c4832aa682f,generalized_translation,bounce,True,6,False,3,3,1.4239585729357744
14339722e4d15c4832aa682f,setup_translation,bounce,True,6,False,1,1,2.154839134889421
146a26c809d36ac2813b964a,generalized_translation,multiple_forces,True,8,False,2,2,0.9210255603657739
148dd8850c03163a349e3fc1,generalized_translation,unforced_slide,True,6,False,2,2,0.5015194833610268
149670e7b96174fdbae1581e,generalized_translation,multiple_forces,True,18,False,2,2,2.501387228292019
14b891a2c73cf84141becb75,generalized_translation,multiple_forces,True,13,False,2,2,0.9739599290971895
14d9aa0b3794da69415bdcde,generalized_translation,unforced_slide,True,7,False,2,2,1.9503127109667227
14edb58dfbd0532b29662c31,generalized_translation,bounce,True,6,False,3,3,0.1901269548248483
14edb58dfbd0532b29662c31,setup_translation,bounce,True,15,False,1,1,0.19788589455944758
154550a0672a06ae04eb7bf6,generalized_translation,multiple_forces,True,11,False,2,2,1.5645139529866283
1548dfbf0de0cc28795ac3eb,generalized_translation,multiple_forces,True,13,False,2,2,1.346945944528582
158eed1d9a3cc0dc728229cd,generalized_translation,unforced_slide,True,7,False,2,2,0.5205346173048968
15df0ff271e95a923711b1de,generalized_translation,multiple_forces,True,14,False,2,2,1.0304362007356416
160fd304eb294483e81a9897,generalized_translation,unforced_slide,True,10,False,2,2,0.6372653848878216
1678585907d3eecec8b54f92,generalized_translation,unforced_slide,True,8,False,2,2,0.5157332223956318
16d761ece7d715ee8deac265,generalized_translation,unforced_slide,True,9,False,2,2,3.480253483546653
16eef22cee168dc8977613a0,generalized_translation,bounce,True,9,False,3,3,0.7942922595984574
16eef22cee168dc8977613a0,setup_translation,bounce,True,3,False,1,1,0.8733508084566749
17172755831e13bac7861d06,generalized_translation,multiple_forces,True,10,False,2,2,1.2545863900998429
17194f186d209bd2a23a802f,generalized_translation,bounce,True,7,False,3,3,0.34804113889073385
17194f186d209bd2a23a802f,setup_translation,bounce,True,5,False,1,1,0.49732940296201583
176772eef66eec046d24bf26,generalized_translation,multiple_forces,True,16,False,2,2,2.408599521197519
17e96a3bbfdc814e791f64fb,generalized_translation,bounce,True,7,False,3,3,0.42375805325633326
17e96a3bbfdc814e791f64fb,setup_translation,bounce,True,11,False,1,1,2.6448336296729904
1834794ecf7f0889dd874149,generalized_translation,multiple_forces,True,17,False,2,2,2.7818807069920966
18405415c47c6ff3cc96a79c,generalized_translation,unforced_slide,True,9,False,2,2,1.592450105324953
184da674a2ef3e96f7aee955,generalized_translation,bounce,True,12,False,3,3,0.32183222563173686
184da674a2ef3e96f7aee955,setup_translation,bounce,True,18,False,1,1,0.8559166288994046
1874bcdf97eb68caa50b0332,generalized_translation,bounce,True,7,False,3,3,1.2603187932926585
1874bcdf97eb68caa50b0332,setup_translation,bounce,True,6,False,1,1,1.4260575205308188
1894429c0108101465886d7e,generalized_translation,unforced_slide,True,7,False,2,2,1.7096578716116668
189bb60771145cabdd84f848,generalized_translation,multiple_forces,True,17,False,2,2,1.7886225043719461
190645ada751758dadcb63ea,generalized_translation,multiple_forces,True,19,False,2,2,0.7414696782884653
19499ad23901cd80c2c5622b,generalized_translation,multiple_forces,True,20,False,2,2,1.7774539345688753
195698abcf45b4ef7e9c3283,generalized_translation,multiple_forces,True,10,False,2,2,0.7694215099155682
19610ec35d781cfc9474cf66,generalized_translation,multiple_forces,True,15,False,2,2,2.2366191542262497
19846229fd5451fe1fa32721,generalized_translation,unforced_slide,True,6,False,2,2,0.1688142509852162
19e6ce5b5b7ae2d97bef589d,generalized_translation,bounce,True,8,False,3,3,103.40774910039806
19e6ce5b5b7ae2d97bef589d,setup_translation,bounce,True,13,False,1,1,1.5132511370335064
19f6742d9d5eb5b626fe0d4a,generalized_translation,bounce,True,5,False,3,3,0.13722281952055326
19f6742d9d5eb5b626fe0d4a,setup_translation,bounce,True,5,False,1,1,0.19064599761519224
19fc77c11b12679524571462,generalized_translation,unforced_slide,True,12,False,2,2,1.3190753380994429
1a24ecc98c1498c7f6277d3d,generalized_translation,unforced_slide,True,9,False,2,2,0.9705511242539908
1a2f49e387a9792dc2a5ecae,generalized_translation,multiple_forces,True,18,False,2,2,0.6946967699366883
1a6eb128cf3fb0a408414d57,generalized_translation,unforced_slide,True,7,False,2,2,1.9930798690948894
1a8396d504426b88196f67ee,generalized_translation,multiple_forces,True,15,False,2,2,1.4989969440190516
1ae1797c6ec01d267d1de0fe,generalized_translation,multiple_forces,True,9,False,2,2,0.9171502996705341
1b9cc30f2fb5344e05ba5563,generalized_translation,unforced_slide,True,10,False,2,2,0.5249532849467129
1c4dc908b7fb7946b21e1e14,generalized_translation,multiple_forces,True,11,False,2,2,0.2763168643472628
1c6b9b7d3f49bfd5df6787e2,generalized_translation,multiple_forces,True,12,False,2,2,1.5815655403274302
1c74513426c42d697858e90d,generalized_translation,unforced_slide,True,7,False,2,2,1.7096578716116668
1c9696d5000c8481e254c76b,generalized_translation,multiple_forces,True,9,False,2,2,2.6748281237214178
1d1383796f277ee51d0b8bfb,generalized_translation,unforced_slide,True,6,False,2,2,0.1790600938336402
1d52a4f3cbbdc331eb436dd7,generalized_translation,bounce,True,5,False,3,3,0.250134916668861
1d52a4f3cbbdc331eb436dd7,setup_translation,bounce,True,4,False,1,1,0.28243156255273516
1d8d14d11f1674879818c7fa,generalized_translation,multiple_forces,True,10,False,2,2,1.3234979928581483
1e2d8a0b356a5edbd2305cb0,generalized_translation,unforced_slide,True,6,False,2,2,1.0802810847985551
1e4f3c0357f609f8980059ce,generalized_translation,multiple_forces,True,13,False,2,2,3.157790365735008
1e7f39ee1fe2fc3c214a20ab,generalized_translation,unforced_slide,True,12,False,2,2,1.0422083271749627
1ed0b4bd67fd2e1576e8808b,generalized_translation,bounce,True,7,False,3,3,0.5323853027921914
1ed0b4bd67fd2e1576e8808b,setup_translation,bounce,True,11,False,1,1,1.7825335456326754
1ee6e4bb82e5ea8874593f4f,generalized_translation,multiple_forces,True,13,False,2,2,1.4791110456860954
1f004c05e7537c1e28dbbc71,generalized_translation,bounce,True,7,False,3,3,2.439936097793347
1f004c05e7537c1e28dbbc71,setup_translation,bounce,True,11,False,1,1,2.717489464785776
1f273d7e23ef0f4ab6228fef,generalized_translation,bounce,True,11,False,3,3,0.4414408753738351
1f273d7e23ef0f4ab6228fef,setup_translation,bounce,True,7,False,1,1,0.452877088435736
1f284d9a7abee1eeb30501fa,generalized_translation,multiple_forces,True,13,False,2,2,0.8953501882311928
1f3126879607c1ebc9d9d3ba,generalized_translation,multiple_forces,True,9,False,2,2,0.765175659810711
1f6082227b0d6a2bcf8faf06,generalized_translation,bounce,True,6,False,3,3,0.16711104754254932
1f6082227b0d6a2bcf8faf06,setup_translation,bounce,True,4,False,1,1,0.5829574229293112
1f93314c8316455b8497f834,generalized_translation,multiple_forces,True,12,False,2,2,2.366785042224569
1f9f64221e8a74f2eeabe117,generalized_translation,bounce,True,10,False,3,3,0.19271172699209493
1f9f64221e8a74f2eeabe117,setup_translation,bounce,True,6,False,1,1,0.5923668264076217
1fac9d757e979daa8063352d,generalized_translation,unforced_slide,True,7,False,2,2,1.8850270758283076
1face429d58148e7a2937948,generalized_translation,bounce,True,8,False,3,3,0.589857582344266
1face429d58148e7a2937948,setup_translation,bounce,True,17,False,1,1,1.1511743998538133
202e85f665ada6797a66f2cb,generalized_translation,bounce,True,9,False,3,3,0.34104449062247144
202e85f665ada6797a66f2cb,setup_translation,bounce,True,5,False,1,1,0.943211365916323
20af9cfa4d2f17fbd8337981,generalized_translation,unforced_slide,True,8,False,2,2,0.1694434504052038
20ba89f9420712993463c4bb,generalized_translation,multiple_forces,True,6,False,2,2,0.4611855766741872
20cbd6704d7151aeb451fa05,generalized_translation,unforced_slide,True,8,False,2,2,2.060123340639553
20dc7ecb8dda577739c44011,generalized_translation,bounce,True,4,False,3,3,0.4919276436897405
20dc7ecb8dda577739c44011,setup_translation,bounce,True,5,False,1,1,0.6285496655989246
21069c6e85b74771433f7af2,generalized_translation,unforced_slide,True,11,False,2,2,2.007241603409499
210f49347e1e5f3279099a3e,generalized_translation,unforced_slide,True,9,False,2,2,1.2818846966392954
214edff75a2848ea8583103b,generalized_translation,multiple_forces,True,13,False,2,2,3.0115199004948416
2165add11becb29c6a7bf258,generalized_translation,bounce,True,8,False,3,3,0.2410006051721308
2165add11becb29c6a7bf258,setup_translation,bounce,True,6,False,1,1,0.2733015304298415
21b1704cd095d5761a20a69a,generalized_translation,bounce,True,7,False,3,3,1.2686904718814185
21b1704cd095d5761a20a69a,setup_translation,bounce,True,5,False,1,1,1.5816061534973085
21e7b27fb7f9183886df6dd2,generalized_translation,bounce,True,5,False,3,3,0.3597923681212229
21e7b27fb7f9183886df6dd2,setup_translation,bounce,True,7,False,1,1,1.2433791133800647
21f4bbfc8146f53775564f9f,generalized_translation,multiple_forces,True,23,False,2,2,2.142968113297024
21fa2ef0a56840db2be053d3,generalized_translation,bounce,True,9,False,3,3,0.9728188745093685
21fa2ef0a56840db2be053d3,setup_translation,bounce,True,6,False,1,1,1.4325600084502892
2209e427b865f28da9b64678,generalized_translation,bounce,True,7,False,3,3,2.6573680772634054
2209e427b865f28da9b64678,setup_translation,bounce,True,9,False,1,1,2.7034067735535445
2235d45a62c6a14414aa8397,generalized_translation,bounce,True,11,False,3,3,2.785927515801721
2235d45a62c6a14414aa8397,setup_translation,bounce,True,3,False,1,1,2.8319311582731523
226e92a50875f8264e6f4724,generalized_translation,bounce,True,10,False,3,3,0.8508404336161053
226e92a50875f8264e6f4724,setup_translation,bounce,True,6,False,1,1,1.4262746836589906
22c9b91990d0cd64dab2b397,generalized_translation,bounce,True,8,False,3,3,54.76766894403116
22c9b91990d0cd64dab2b397,setup_translation,bounce,True,13,False,1,1,1.0082624949173338
23030c7af4731bec9b41c5c6,generalized_translation,bounce,True,7,False,3,3,0.7096283730346586
23030c7af4731bec9b41c5c6,setup_translation,bounce,True,7,False,1,1,1.0025852678441063
2328d8b3a476cd53350e099b,generalized_translation,unforced_slide,True,10,False,2,2,0.7966720797136733
23f0be44501a637a0536a320,generalized_translation,bounce,True,7,False,3,3,3.513236209973898
23f0be44501a637a0536a320,setup_translation,bounce,True,6,False,1,1,3.6718475736824474
23ff3cd11b982132341a14d7,generalized_translation,bounce,True,5,False,3,3,0.0839783369668739
23ff3cd11b982132341a14d7,setup_translation,bounce,True,4,False,1,1,0.3544059527004756
24266a2126e37f14647f94fc,generalized_translation,unforced_slide,True,9,False,2,2,1.0819777345310082
2439fd297371a1fb17bb9f27,generalized_translation,unforced_slide,True,8,False,2,2,0.27556854813115295
24b8a9d1935261f4308eca39,generalized_translation,unforced_slide,True,8,False,2,2,1.3766690385190896
24ecb532149fa374a6ade0f8,generalized_translation,bounce,True,7,False,3,3,0.03546491216173412
24ecb532149fa374a6ade0f8,setup_translation,bounce,True,9,False,1,1,0.48757294187569816
2582c3c266d0ee356ae2d2e1,generalized_translation,unforced_slide,True,11,False,2,2,0.24807052841897162
25aca306d3fe0a9195f1aab9,generalized_translation,multiple_forces,True,11,False,2,2,1.0709432216572214
263f38053d0e43bcff67c613,generalized_translation,bounce,True,7,False,3,3,0.5975759790280794
263f38053d0e43bcff67c613,setup_translation,bounce,True,4,False,1,1,0.754972440969657
26502ac80eca863caa9670ac,generalized_translation,bounce,True,8,False,3,3,0.31105634638239066
26502ac80eca863caa9670ac,setup_translation,bounce,True,4,False,1,1,0.5793250778752144
26530e59aca19c5886c80470,generalized_translation,unforced_slide,True,7,False,2,2,1.029550427759153
26965066e9e944c7f94f3977,generalized_translation,bounce,True,8,False,3,3,0.3619996799821198
26965066e9e944c7f94f3977,setup_translation,bounce,True,3,False,1,1,0.602893270513452
26a9b7ac800c3069eed8135d,generalized_translation,bounce,True,7,False,3,3,33.50431055803543
26a9b7ac800c3069eed8135d,setup_translation,bounce,True,13,False,1,1,1.372222799221578
282fcac03b95a911d304fab2,generalized_translation,bounce,True,5,False,3,3,0.6492689205228818
282fcac03b95a911d304fab2,setup_translation,bounce,True,3,False,1,1,0.8780828024041428
2869af406ca844ce85aaaf50,generalized_translation,bounce,True,7,False,3,3,15.213980330019343
2869af406ca844ce85aaaf50,setup_translation,bounce,True,15,False,1,1,1.8741609689655383
28e37391e7741d058dd075ad,generalized_translation,multiple_forces,True,29,False,2,2,2.8213923393382694
29080f43edb711a48f72f8e1,generalized_translation,multiple_forces,True,8,False,2,2,1.8290332048307394
298828ff8aac184d102fed9d,generalized_translation,multiple_forces,True,10,False,2,2,0.6768770058144266
2a8dd7ff6159286dffd6074e,generalized_translation,multiple_forces,True,30,False,2,2,2.9906574191369932
2a918757abfc6bda69bf8bda,generalized_translation,multiple_forces,True,9,False,2,2,0.2815526205182983
2a9c3d903a8628bef5269ffe,generalized_translation,multiple_forces,True,26,False,2,2,1.653797614157481
2ab6957be5969d8d44722a4c,generalized_translation,bounce,True,8,False,3,3,120.39092739859765
2ab6957be5969d8d44722a4c,setup_translation,bounce,True,4,False,1,1,4.250274528047494
2adc57e8054035c8d2dbb5dc,generalized_translation,multiple_forces,True,11,False,2,2,1.2897665888128977
2ae06e57fb81b3c127518efc,generalized_translation,multiple_forces,True,16,False,2,2,0.7554187468055277
2b35c706b05c22f5776f3bf9,generalized_translation,bounce,True,7,False,3,3,2.032900447687668
2b35c706b05c22f5776f3bf9,setup_translation,bounce,True,3,False,1,1,2.288583635863534
2b466b1d3c7c34d231fbb8c6,generalized_translation,bounce,True,5,False,3,3,0.2152595892385026
2b466b1d3c7c34d231fbb8c6,setup_translation,bounce,True,6,False,1,1,1.2981090073320285
2bbb9eb8e167fd450279295c,generalized_translation,bounce,True,11,False,3,3,0.6526393622971094
2bbb9eb8e167fd450279295c,setup_translation,bounce,True,15,False,1,1,1.2632621749926747
2c82b7c165be135dc7ce45ad,generalized_translation,unforced_slide,True,11,False,2,2,1.6907541542693085
2c8f1d579ddc8f0d63122eb3,generalized_translation,unforced_slide,True,8,False,2,2,1.0372070166338758
2cc4971efae47887cf9fbcab,generalized_translation,multiple_forces,True,8,False,2,2,1.5950215310545173
2d1ffec7a81074131e280f8f,generalized_translation,bounce,True,5,False,3,3,0.24360840910488726
2d1ffec7a81074131e280f8f,setup_translation,bounce,True,4,False,1,1,0.4077332678646971
2d77037851f5eb42e660ed67,generalized_translation,multiple_forces,True,13,False,2,2,0.9079901765701821
2d7b81a6b31bf98acc61ce29,generalized_translation,multiple_forces,True,9,False,2,2,0.5206549586569025
