mode,q,protocol,coverage90,whole_family_coverage,overall_width,overall_nll,overall_crps
beta_selected,1.0,all,0.9680555555555554,0.6805555555555556,0.1591876197647813,-2.5324725897894313,0.013102719659594187
beta_selected,1.0,multiple_forces,0.9194444444444444,0.7361111111111112,0.1591876197647813,-2.5324725897894313,0.013102719659594187
beta_selected,1.0,unforced_slide,1.0,1.0,0.1591876197647813,-2.5324725897894313,0.013102719659594187
beta_selected,1.0,bounce,0.9847222222222223,0.9027777777777778,0.1591876197647813,-2.5324725897894313,0.013102719659594187
representative_family_conformal,0.4421209099928947,all,0.8194444444444444,0.1388888888888889,0.07038017531000802,-0.7406201245793528,0.01056115006961248
representative_family_conformal,0.4421209099928947,multiple_forces,0.6722222222222223,0.3472222222222222,0.07038017531000802,-0.7406201245793528,0.01056115006961248
representative_family_conformal,0.4421209099928947,unforced_slide,0.9194444444444444,0.7777777777777778,0.07038017531000802,-0.7406201245793528,0.01056115006961248
representative_family_conformal,0.4421209099928947,bounce,0.8666666666666667,0.4027777777777778,0.07038017531000802,-0.7406201245793528,0.01056115006961248
family_max_conformal,7.912489755420047,all,0.9986111111111111,0.9583333333333334,1.2595704105785337,-1.087562772492368,0.0734977187244942
family_max_conformal,7.912489755420047,multiple_forces,1.0,1.0,1.2595704105785337,-1.087562772492368,0.0734977187244942
family_max_conformal,7.912489755420047,unforced_slide,1.0,1.0,1.2595704105785337,-1.087562772492368,0.0734977187244942
family_max_conformal,7.912489755420047,bounce,0.9958333333333333,0.9583333333333334,1.2595704105785337,-1.087562772492368,0.0734977187244942
