family,flat_index,score,family_max
access_cal40_f000,19,0.05390133648339925,0.6738464010364494
access_cal40_f001,4,0.458443378423635,3.7910533413631016
access_cal40_f002,21,0.15811310363350015,1.1427779422251862
access_cal40_f003,9,0.23351208100866,0.5185062137106977
access_cal40_f004,9,0.21728356704307358,1.500378296375876
access_cal40_f005,15,0.4421209099928947,0.9793243460922463
access_cal40_f006,18,0.428419650965054,0.428419650965054
access_cal40_f007,9,0.21043902815139884,0.6524259704322304
access_cal40_f008,11,0.23344200789702066,0.494854984839278
access_cal40_f009,5,0.20195784470942277,0.9862969792376093
access_cal40_f010,12,0.34500891459442384,0.5425116559457854
access_cal40_f011,19,0.388636594412505,1.6203142523568665
access_cal40_f012,5,0.03311480631669906,0.750824996140162
access_cal40_f013,5,0.21446795710451752,4.282929081631825
access_cal40_f014,21,0.10271038966658876,20.1717757043765
access_cal40_f015,14,0.3117482732871434,0.5577816038276519
access_cal40_f016,23,0.5869378474932007,0.9871875724563988
access_cal40_f017,15,0.1782312142306918,0.46640109879360575
access_cal40_f018,1,0.11499217156143836,1.4894478709558923
access_cal40_f019,20,0.19528812190149172,0.507185920783905
access_cal40_f020,25,0.15140637251132008,10.34223210086147
access_cal40_f021,5,0.07589496124986018,0.3294718112352615
access_cal40_f022,0,0.18331820550576527,0.8958005930071494
access_cal40_f023,17,0.16563000783578108,0.7589249515771267
access_cal40_f024,1,0.23805184249504188,0.4364808815282296
access_cal40_f025,27,0.05245063547224382,3.087209790917445
access_cal40_f026,6,0.1353284841023097,7.912489755420047
access_cal40_f027,19,0.26919913458786543,10.45578095492431
access_cal40_f028,9,0.020903059858803807,0.36769036410954903
access_cal40_f029,6,0.12080823972169373,0.6509290599521462
access_cal40_f030,26,0.00841518684179491,0.35119112673585
access_cal40_f031,16,0.37061644049888004,0.6352186881381567
access_cal40_f032,24,0.3687486466073371,5.081910415216908
access_cal40_f033,6,0.06657668692332389,0.8115394672960095
access_cal40_f034,1,0.7251534710840555,0.7251534710840555
access_cal40_f035,19,0.0017189379105489828,0.5221636555858569
access_cal40_f036,18,0.06058833642284311,0.508283356653609
access_cal40_f037,21,0.3186887082394033,0.8387513424996721
access_cal40_f038,19,0.1662673191900641,0.4085372534361539
access_cal40_f039,5,0.048643247440199947,1.699685304783973
