id,regime,converged,calls
1678585907d3eecec8b54f92,generalized_translation,True,240
16d761ece7d715ee8deac265,generalized_translation,True,212
16eef22cee168dc8977613a0,generalized_translation,True,315
16eef22cee168dc8977613a0,setup_translation,True,141
17172755831e13bac7861d06,generalized_translation,True,465
17194f186d209bd2a23a802f,generalized_translation,True,440
17194f186d209bd2a23a802f,setup_translation,True,141
176772eef66eec046d24bf26,generalized_translation,True,375
17e96a3bbfdc814e791f64fb,generalized_translation,True,355
17e96a3bbfdc814e791f64fb,setup_translation,True,96
1834794ecf7f0889dd874149,generalized_translation,True,405
18405415c47c6ff3cc96a79c,generalized_translation,True,240
184da674a2ef3e96f7aee955,generalized_translation,True,375
184da674a2ef3e96f7aee955,setup_translation,True,120
1874bcdf97eb68caa50b0332,generalized_translation,True,310
1874bcdf97eb68caa50b0332,setup_translation,True,171
1894429c0108101465886d7e,generalized_translation,True,196
189bb60771145cabdd84f848,generalized_translation,True,450
190645ada751758dadcb63ea,generalized_translation,True,350
19499ad23901cd80c2c5622b,generalized_translation,True,440
195698abcf45b4ef7e9c3283,generalized_translation,True,345
19610ec35d781cfc9474cf66,generalized_translation,True,310
19846229fd5451fe1fa32721,generalized_translation,True,204
19e6ce5b5b7ae2d97bef589d,generalized_translation,True,420
19e6ce5b5b7ae2d97bef589d,setup_translation,True,120
19f6742d9d5eb5b626fe0d4a,generalized_translation,True,365
19f6742d9d5eb5b626fe0d4a,setup_translation,True,117
19fc77c11b12679524571462,generalized_translation,True,184
1a24ecc98c1498c7f6277d3d,generalized_translation,True,212
1a2f49e387a9792dc2a5ecae,generalized_translation,True,465
1a6eb128cf3fb0a408414d57,generalized_translation,True,204
1a8396d504426b88196f67ee,generalized_translation,True,430
1ae1797c6ec01d267d1de0fe,generalized_translation,True,360
1b9cc30f2fb5344e05ba5563,generalized_translation,True,204
1c4dc908b7fb7946b21e1e14,generalized_translation,True,345
1c6b9b7d3f49bfd5df6787e2,generalized_translation,True,490
1c74513426c42d697858e90d,generalized_translation,True,196
1c9696d5000c8481e254c76b,generalized_translation,True,400
1d1383796f277ee51d0b8bfb,generalized_translation,True,208
1d52a4f3cbbdc331eb436dd7,generalized_translation,True,330
1d52a4f3cbbdc331eb436dd7,setup_translation,True,114
1d8d14d11f1674879818c7fa,generalized_translation,True,370
1e2d8a0b356a5edbd2305cb0,generalized_translation,True,204
1e4f3c0357f609f8980059ce,generalized_translation,True,420
1e7f39ee1fe2fc3c214a20ab,generalized_translation,True,200
1ed0b4bd67fd2e1576e8808b,generalized_translation,True,310
1ed0b4bd67fd2e1576e8808b,setup_translation,True,123
1ee6e4bb82e5ea8874593f4f,generalized_translation,True,425
1f004c05e7537c1e28dbbc71,generalized_translation,True,370
1f004c05e7537c1e28dbbc71,setup_translation,True,189
1f273d7e23ef0f4ab6228fef,generalized_translation,True,300
1f273d7e23ef0f4ab6228fef,setup_translation,True,135
1f284d9a7abee1eeb30501fa,generalized_translation,True,360
1f3126879607c1ebc9d9d3ba,generalized_translation,True,400
1f6082227b0d6a2bcf8faf06,generalized_translation,True,405
1f6082227b0d6a2bcf8faf06,setup_translation,True,120
1f93314c8316455b8497f834,generalized_translation,True,400
1f9f64221e8a74f2eeabe117,generalized_translation,True,320
1f9f64221e8a74f2eeabe117,setup_translation,True,117
1fac9d757e979daa8063352d,generalized_translation,True,260
1face429d58148e7a2937948,generalized_translation,True,170
1face429d58148e7a2937948,setup_translation,True,123
202e85f665ada6797a66f2cb,generalized_translation,True,315
202e85f665ada6797a66f2cb,setup_translation,True,120
20af9cfa4d2f17fbd8337981,generalized_translation,True,212
20ba89f9420712993463c4bb,generalized_translation,True,260
20cbd6704d7151aeb451fa05,generalized_translation,True,268
20dc7ecb8dda577739c44011,generalized_translation,True,330
20dc7ecb8dda577739c44011,setup_translation,True,93
21069c6e85b74771433f7af2,generalized_translation,True,220
210f49347e1e5f3279099a3e,generalized_translation,True,252
214edff75a2848ea8583103b,generalized_translation,True,405
2165add11becb29c6a7bf258,generalized_translation,True,330
2165add11becb29c6a7bf258,setup_translation,True,114
21b1704cd095d5761a20a69a,generalized_translation,True,595
21b1704cd095d5761a20a69a,setup_translation,True,150
21e7b27fb7f9183886df6dd2,generalized_translation,True,345
21e7b27fb7f9183886df6dd2,setup_translation,True,102
21f4bbfc8146f53775564f9f,generalized_translation,True,545
21fa2ef0a56840db2be053d3,generalized_translation,True,340
21fa2ef0a56840db2be053d3,setup_translation,True,132
2209e427b865f28da9b64678,generalized_translation,True,305
2209e427b865f28da9b64678,setup_translation,True,159
2235d45a62c6a14414aa8397,generalized_translation,True,305
2235d45a62c6a14414aa8397,setup_translation,True,159
226e92a50875f8264e6f4724,generalized_translation,True,330
226e92a50875f8264e6f4724,setup_translation,True,105
22c9b91990d0cd64dab2b397,generalized_translation,True,375
22c9b91990d0cd64dab2b397,setup_translation,True,135
23030c7af4731bec9b41c5c6,generalized_translation,True,375
23030c7af4731bec9b41c5c6,setup_translation,True,126
2328d8b3a476cd53350e099b,generalized_translation,True,184
23f0be44501a637a0536a320,generalized_translation,True,290
23f0be44501a637a0536a320,setup_translation,True,105
23ff3cd11b982132341a14d7,generalized_translation,True,345
23ff3cd11b982132341a14d7,setup_translation,True,123
24266a2126e37f14647f94fc,generalized_translation,True,192
2439fd297371a1fb17bb9f27,generalized_translation,True,240
24b8a9d1935261f4308eca39,generalized_translation,True,244
24ecb532149fa374a6ade0f8,generalized_translation,True,375
24ecb532149fa374a6ade0f8,setup_translation,True,123
2582c3c266d0ee356ae2d2e1,generalized_translation,True,252
25aca306d3fe0a9195f1aab9,generalized_translation,True,375
263f38053d0e43bcff67c613,generalized_translation,True,175
263f38053d0e43bcff67c613,setup_translation,True,102
26502ac80eca863caa9670ac,generalized_translation,True,350
26502ac80eca863caa9670ac,setup_translation,True,138
26530e59aca19c5886c80470,generalized_translation,True,320
26965066e9e944c7f94f3977,generalized_translation,True,235
26965066e9e944c7f94f3977,setup_translation,True,138
26a9b7ac800c3069eed8135d,generalized_translation,True,230
26a9b7ac800c3069eed8135d,setup_translation,True,174
282fcac03b95a911d304fab2,generalized_translation,True,280
282fcac03b95a911d304fab2,setup_translation,True,126
2869af406ca844ce85aaaf50,generalized_translation,True,485
2869af406ca844ce85aaaf50,setup_translation,True,120
28e37391e7741d058dd075ad,generalized_translation,True,555
29080f43edb711a48f72f8e1,generalized_translation,True,400
298828ff8aac184d102fed9d,generalized_translation,True,365
2a8dd7ff6159286dffd6074e,generalized_translation,True,475
2a918757abfc6bda69bf8bda,generalized_translation,True,570
2a9c3d903a8628bef5269ffe,generalized_translation,True,490
2ab6957be5969d8d44722a4c,generalized_translation,True,200
2ab6957be5969d8d44722a4c,setup_translation,True,117
2adc57e8054035c8d2dbb5dc,generalized_translation,True,475
2ae06e57fb81b3c127518efc,generalized_translation,True,335
2b35c706b05c22f5776f3bf9,generalized_translation,True,305
2b35c706b05c22f5776f3bf9,setup_translation,True,132
2b466b1d3c7c34d231fbb8c6,generalized_translation,True,375
2b466b1d3c7c34d231fbb8c6,setup_translation,True,129
2bbb9eb8e167fd450279295c,generalized_translation,True,220
2bbb9eb8e167fd450279295c,setup_translation,True,144
2c82b7c165be135dc7ce45ad,generalized_translation,True,240
2c8f1d579ddc8f0d63122eb3,generalized_translation,True,280
2cc4971efae47887cf9fbcab,generalized_translation,True,390
2d1ffec7a81074131e280f8f,generalized_translation,True,340
2d1ffec7a81074131e280f8f,setup_translation,True,141
2d77037851f5eb42e660ed67,generalized_translation,True,360
2d7b81a6b31bf98acc61ce29,generalized_translation,True,335
2d8340c30f530c58a619d6f9,generalized_translation,True,500
2da952beba5996187f2278a8,generalized_translation,True,350
2dbe019532972333f4943316,generalized_translation,True,335
2dbe019532972333f4943316,setup_translation,True,129
2dce9ec9390790d36eba5104,generalized_translation,True,204
2df4dce9782b329a03207466,generalized_translation,True,248
2e19416a898af081a5520474,generalized_translation,True,485
2e19416a898af081a5520474,setup_translation,True,153
2e43ffecd0c1d7a5b2f197af,generalized_translation,True,465
2e662b3dae6373004eaf059a,generalized_translation,True,415
2e6d1ce70ef5bedee2dd8ad2,generalized_translation,True,485
2e85aed3f7ad32b1eb62b4fe,generalized_translation,True,164
2ecdf7a69f27bf9cb5a16566,generalized_translation,True,276
2f2626ab3fce9e29a0edaf02,generalized_translation,True,204
2f7993ca7092ba0cb23671a2,generalized_translation,True,445
2f8e76e6dbb25fe0f1af41ed,generalized_translation,True,295
2fa64162e4403590ad89104b,generalized_translation,True,208
2fd4af82e6f9a419bff7adbf,generalized_translation,True,485
2fd4af82e6f9a419bff7adbf,setup_translation,True,132
2fe71ac77b88ee5c20d5a861,generalized_translation,True,365
3058acbb47953dc5f20e84d2,generalized_translation,True,224
31541b42633d286d68d46149,generalized_translation,True,485
316940af74967304994bb5e3,generalized_translation,True,635
31bad7fe83273e85c4e4f255,generalized_translation,True,212
31c615bc7a7f12ab15d5fa1b,generalized_translation,True,310
31c615bc7a7f12ab15d5fa1b,setup_translation,True,123
31e1d4504c42819c0c89a05b,generalized_translation,True,405
323a1e24bea553aa8f4f96c5,generalized_translation,True,220
3255dcd60f03b9a7f774bfd0,generalized_translation,True,420
325990468288638b2b66831e,generalized_translation,True,288
32f6d5d61193a3969b091770,generalized_translation,True,320
32f6d5d61193a3969b091770,setup_translation,True,195
33925304add24a952a756755,generalized_translation,True,256
3397426c84dfaf749ba59f7c,generalized_translation,True,375
3397426c84dfaf749ba59f7c,setup_translation,True,120
33e292879990abfbd64e34ee,generalized_translation,True,310
33e292879990abfbd64e34ee,setup_translation,True,129
34524de7acee8cc6a745ab5d,generalized_translation,True,208
345e8ec0223672d327df709d,generalized_translation,True,385
3494226522b6d4b5d3dcce83,generalized_translation,True,455
34f1cdeabfedd831c6278793,generalized_translation,True,335
34f1cdeabfedd831c6278793,setup_translation,True,129
352d86b670ab377a6579c562,generalized_translation,True,208
35aece3a8bae39648be50dba,generalized_translation,True,172
35d99194b634ac31b566bb19,generalized_translation,True,270
35f66eff9d84c7f4a29365da,generalized_translation,True,220
361bb3e70ae0172cd5de2b9a,generalized_translation,True,180
36437639b6a632c812377775,generalized_translation,True,204
36496fb6c814ffb55955abd1,generalized_translation,True,420
36d141bf2b83a1d005130528,generalized_translation,True,236
3799c5b764065a689b1b8e4f,generalized_translation,True,224
382847e34d9d2c4963d50344,generalized_translation,True,425
3842179b789d807185657dbe,generalized_translation,True,420
38f1013e37a98c211dddf434,generalized_translation,True,440
38f1013e37a98c211dddf434,setup_translation,True,141
39039cb076bf3cc37872ab4b,generalized_translation,True,365
39039cb076bf3cc37872ab4b,setup_translation,True,192
397e04ae00fa9abd0f5be873,generalized_translation,True,320
397e04ae00fa9abd0f5be873,setup_translation,True,165
39afd1ab86c4a8434663b0ee,generalized_translation,True,425
39afd1ab86c4a8434663b0ee,setup_translation,True,147
39b59699f849e2fc68076dae,generalized_translation,True,410
39b59699f849e2fc68076dae,setup_translation,True,162
3a7590ec56e99dac5c8e595d,generalized_translation,True,204
3a824b572de6e30218fa2a40,generalized_translation,True,395
3a824b572de6e30218fa2a40,setup_translation,True,120
3ac36a4645e745e47ed213a2,generalized_translation,True,204
3ac60a7369f71816162231b7,generalized_translation,True,256
3b171bafd9fd890f91a3de65,generalized_translation,True,330
3b171bafd9fd890f91a3de65,setup_translation,True,120
3b388404452b3dbbc89dbd07,generalized_translation,True,330
3b388404452b3dbbc89dbd07,setup_translation,True,147
3bef1bd1f63b04dfa129c19f,generalized_translation,True,325
3bef1bd1f63b04dfa129c19f,setup_translation,True,138
3c724ffa14a44d02df09cb34,generalized_translation,True,216
3c84c8ae63ee87edb4a94775,generalized_translation,True,330
3c84c8ae63ee87edb4a94775,setup_translation,True,129
3ca48edf2937c02ac5b0fd8f,generalized_translation,True,300
3cdf94684da92d1af3719963,generalized_translation,True,315
3cdf94684da92d1af3719963,setup_translation,True,141
3d8f685159c088cedae4a2e5,generalized_translation,True,305
3d8f685159c088cedae4a2e5,setup_translation,True,66
3dbebcf0a9931ebacc6be5da,generalized_translation,True,435
3e26ab9d52f6d05aa1bba1a8,generalized_translation,True,275
3e26ab9d52f6d05aa1bba1a8,setup_translation,True,132
3eabc1415a8f987a0dd28631,generalized_translation,True,284
3ed7f3bc3cef4a44e0cdb682,generalized_translation,True,360
3f011bf6e4217e66bd57c6f5,generalized_translation,True,256
3f2c5ec1c3fc39d83891208b,generalized_translation,True,275
3f5328d3c69524070005090b,generalized_translation,True,164
3f8375b5c4fee60fd42e8985,generalized_translation,True,385
3f921bdec803ba940ba5bf38,generalized_translation,True,500
40499a956c2ace1444adf7fe,generalized_translation,True,208
40523ae537bd499e5c52eb76,generalized_translation,True,330
40523ae537bd499e5c52eb76,setup_translation,True,141
40ec20c064ddd4295d672c8a,generalized_translation,True,340
40ec20c064ddd4295d672c8a,setup_translation,True,126
40f7a2dae963529aa6400d56,generalized_translation,True,435
414dbe2b17ed92c8f804433d,generalized_translation,True,180
414e9d5c611f20ceda05d135,generalized_translation,True,475
415ef88a1fcd01566550e5a7,generalized_translation,True,610
41684f9d5547db55f0a856ca,generalized_translation,True,370
41684f9d5547db55f0a856ca,setup_translation,True,126
416d17f3e8b0a680ee447140,generalized_translation,True,256
4182f8cb8b90d6b4fec08f22,generalized_translation,True,220
4254d4b749a57be58ce52dc1,generalized_translation,True,236
427566f8da8852ddb22d0f6f,generalized_translation,True,510
427566f8da8852ddb22d0f6f,setup_translation,True,138
4297f3303ee23d239aa551b2,generalized_translation,True,276
42af40da54db383c9b1c5b1e,generalized_translation,True,256
42e5f77a1f2094f757a235a7,generalized_translation,True,172
42f731c6300c878e7c87c700,generalized_translation,True,385
430b47f0cb6b1ae6183349be,generalized_translation,True,440
432661c5aa924d7e8a6af9e1,generalized_translation,True,276
43554b9f8afbd9f90086dbbe,generalized_translation,True,485
4358c66a4b252ea20e311378,generalized_translation,True,184
448c13ddbee07cf297e32d82,generalized_translation,True,365
448c13ddbee07cf297e32d82,setup_translation,True,138
4492a7a8003e2864cb4e0351,generalized_translation,True,430
4492a7a8003e2864cb4e0351,setup_translation,True,99
44c61e14ab60f60b44381ca3,generalized_translation,True,244
44ff5d8f3af4b39651ffb0b2,generalized_translation,True,445
4505a802c77b0c27455f2ec8,generalized_translation,True,192
452cdea282e1f0d55121bd68,generalized_translation,True,355
452cdea282e1f0d55121bd68,setup_translation,True,222
45433377cb499db1109d81ee,generalized_translation,True,360
45433377cb499db1109d81ee,setup_translation,True,126
455d571835e7b09ba56e0816,generalized_translation,True,148
45ab7312971271f8aa3c8c37,generalized_translation,True,435
45d6500f7a11a1d2687bb9f2,generalized_translation,True,415
45d6500f7a11a1d2687bb9f2,setup_translation,True,120
45fcbe1bf1f295585bd1600f,generalized_translation,True,236
460d954d83ae3e69bc43ac4b,generalized_translation,True,595
460d954d83ae3e69bc43ac4b,setup_translation,True,150
4643c2c1327b9e94d5213fbc,generalized_translation,True,200
46ee4c1bfb653b9072d27b4a,generalized_translation,True,470
4736bfdd2bf0adf13ae6ab6b,generalized_translation,True,196
4747e664c5c1b12c4849d071,generalized_translation,True,264
4758b0ebece8d615c0bb9c1f,generalized_translation,True,232
47da59ab1a4d674702428cba,generalized_translation,True,455
47f1318a3999ae81d1f5d65e,generalized_translation,True,360
47f1318a3999ae81d1f5d65e,setup_translation,True,123
4810e70def912b6cb5f60e8a,generalized_translation,True,260
4815d7d212c389b665d2147d,generalized_translation,True,345
488f43c48861199fd94f80da,generalized_translation,True,270
488f43c48861199fd94f80da,setup_translation,True,117
48a37c5fda7df71cff80f1ed,generalized_translation,True,425
48b8523e7545b50bd1d9a9b2,generalized_translation,True,485
48b8523e7545b50bd1d9a9b2,setup_translation,True,120
493fc28c921a00fcc6a7d34c,generalized_translation,True,415
493fc28c921a00fcc6a7d34c,setup_translation,True,177
494f28b76a0dc48be575ef90,generalized_translation,True,515
49690595c105ee9903da07b0,generalized_translation,True,440
497d2f0799f96a5f9c8e9f8a,generalized_translation,True,152
499d4a8f4bf750ff02b67401,generalized_translation,True,335
49ab4208a82058c77c88e387,generalized_translation,True,360
49b0d4f581f0372780eada69,generalized_translation,True,395
49d23e8301b674e3f1c20c2d,generalized_translation,True,330
49d23e8301b674e3f1c20c2d,setup_translation,True,147
49e2a9bb66d658e3f59f6e5f,generalized_translation,True,216
4a1ec7cdcf244c721490ed40,generalized_translation,True,220
4ac8799ae82becb90e722492,generalized_translation,True,285
4ac8799ae82becb90e722492,setup_translation,True,132
4b84a791bf632f2d3ceaa735,generalized_translation,True,220
4b84a791bf632f2d3ceaa735,setup_translation,True,114
4bd6d014081664c554937cc1,generalized_translation,True,220
4c58481ea68fe617a9e406a8,generalized_translation,True,192
4c978d2c67ac96318b8b72fb,generalized_translation,True,450
4ca368c825a5ba3eee838974,generalized_translation,True,285
4d049ec63f54351b3d8d4e8c,generalized_translation,True,355
4d049ec63f54351b3d8d4e8c,setup_translation,True,114
4d4247136d72708b43304c94,generalized_translation,True,290
4d4247136d72708b43304c94,setup_translation,True,126
4d56871052647144ce2dd271,generalized_translation,True,350
4d56871052647144ce2dd271,setup_translation,True,126
4df8b7b955b4895d1dfe55ff,generalized_translation,True,232
4e561bc1a9cfd7d56c9ae364,generalized_translation,True,320
4e6cb122bf2140855694a1c4,generalized_translation,True,236
4f0e4dd9bfbbc7617c723771,generalized_translation,True,276
4f213059223713a08509b4f2,generalized_translation,True,185
4f213059223713a08509b4f2,setup_translation,True,105
4f81b3efc3bf28b591932451,generalized_translation,True,240
50133ecbf4a7b3bf0d2cce87,generalized_translation,True,470
50600051d3e0f74d6e88fa8b,generalized_translation,True,355
50600051d3e0f74d6e88fa8b,setup_translation,True,150
50639265d554e9d239ee3707,generalized_translation,True,224
506eb4cb145e4b3a087e3387,generalized_translation,True,405
50a54ee6ee2e778a4afaf572,generalized_translation,True,365
50a54ee6ee2e778a4afaf572,setup_translation,True,117
50cd20db98853fb64867c7a2,generalized_translation,True,235
50cd20db98853fb64867c7a2,setup_translation,True,150
50f617fe17991c285e19463b,generalized_translation,True,340
51834f12094b020ba1fa12e3,generalized_translation,True,200
51913f659bee51dd940de2a3,generalized_translation,True,390
51b397a431b5b3ded5bd5064,generalized_translation,True,300
52498871bd9f09ed549e8a72,generalized_translation,True,244
529107d393c84938df0f914a,generalized_translation,True,324
52d3d5959707bbb6e26f84a2,generalized_translation,True,310
52fa5c43c3b9871af65134e5,generalized_translation,True,264
5341cb60b2fea279e6922ff3,generalized_translation,True,290
5341cb60b2fea279e6922ff3,setup_translation,True,105
5379eba1c69e42be6aa1c824,generalized_translation,True,390
541fbe634b104d8823205f7a,generalized_translation,True,365
548262795eadd2aa3d9ad981,generalized_translation,True,370
548262795eadd2aa3d9ad981,setup_translation,True,150
54863cd3c969467334327f7a,generalized_translation,True,415
54863cd3c969467334327f7a,setup_translation,True,138
54a46c5583e0407f8ad4205a,generalized_translation,True,410
54c95d2689344f656cb50c5c,generalized_translation,True,415
555ad8e59c95deb67ae458b6,generalized_translation,True,220
555ad8e59c95deb67ae458b6,setup_translation,True,114
5595d98495419f2a0f6288e7,generalized_translation,True,220
55cc6ca17e5afc189a5a1e8e,generalized_translation,True,295
55f8ba9c49736015c63b6b2b,generalized_translation,True,475
56130886f474617e34ae7bda,generalized_translation,True,310
56130886f474617e34ae7bda,setup_translation,True,123
56698074af10064d019ccfae,generalized_translation,True,450
56698074af10064d019ccfae,setup_translation,True,147
569d7b04bef68aee308d5321,generalized_translation,True,340
56bfbfc32a5ec8ff7c761c2d,generalized_translation,True,216
56cbc274bbcbdcb6f0e8b49b,generalized_translation,True,350
56cbc274bbcbdcb6f0e8b49b,setup_translation,True,138
57309b6427443cbd8caa83a6,generalized_translation,True,236
