comparison,difference_mm,low95_mm,high95_mm,p_signflip,n_families,p_holm
full192 minus profiled MAP,-0.37002656035189374,-0.561990664362454,-0.18024250293376212,0.0004999750012499375,72,0.0014999250037498126
qwen87 minus flow87,0.009361805689781226,-0.01053909800030606,0.03060504709817298,0.37728113594320284,72,0.37728113594320284
qwen87 minus numeric87,-0.015817019787625366,-0.031135759598835733,0.0005673807237350719,0.05069746512674366,72,0.10139493025348732
