panel,contrast,percent,low95_percent,high95_percent
Strong anchor,Full / MAP,-20.296018874237358,-30.825282164065015,-9.886331505512686
87-d numerical comparator,Qwen,-1.0967801300249511,-2.15900864510226,0.03934318299574112
87-d numerical comparator,Tracking,-1.7459442961935836,-2.888450142726392,-0.6847062286025672
Public displacement,Gated / numeric,-4.2689419028034274,-6.681598490173955,-1.88744824614435
