comparison,difference_mm,low95_mm,high95_mm,p_signflip,n_families,p_holm
full87_legacy minus numeric87,-0.015817019787625366,-0.031135759598835733,0.0005673807237350719,0.05069746512674366,72,0.15209239538023098
flow87 minus numeric87,-0.02517882547740659,-0.041655270561870315,-0.009874369228653665,0.0024998750062496873,72,0.00999950002499875
pixels87 minus numeric87,-0.008084021403948578,-0.02486718388961162,0.007148630032694663,0.3340332983350833,72,0.6680665966701665
vjepa87 minus numeric87,0.0019422585765298966,-0.007353901906531525,0.011118531410853647,0.6882155892205389,72,0.6882155892205389
