cohort,comparison,difference_mm,low95_mm,high95_mm
development,vjepa2_48 minus numeric,0.010498837357163934,-0.004577771612975309,0.025596597830520998
development,vjepa2_48 minus full,0.030196043041845214,0.010194982560208125,0.050583074429881046
confirmation,vjepa2_48 minus numeric,0.0018454228803822077,-0.009140665791464036,0.012875801375547526
confirmation,vjepa2_48 minus full,0.017493345377893377,-0.0011763526515078697,0.03560351127103096
