cohort,arm,action_mm,nll,crps,coverage90,projected_diameter
development,vjepa2_48,1.3824270732187287,-2.1740769570639467,0.013642662994966996,0.9734848484848485,0.1604277433471495
confirmation,vjepa2_48,1.4706152687002292,-2.5433887990689814,0.013189206568254725,0.9736111111111112,0.15954713071329898
